glyph_unified	src_ref
󵎶	D5-11908
󵎷	D5-11909
󵎸	D5-11910
󵎹	D5-12001
󵎺	D5-12002
󵎻	D5-12003
󵎼	D5-12004
󵎽	D5-12005
󵎾	D5-12006
󵎿	D5-12007
󵏀	D5-12008
󵏁	D5-12009
󵏂	D5-12101
󵏃	D5-12102
󵏄	D5-12103
󵏅	D5-12104
󵏆	D5-12105
󵏇	D5-12106
󵏈	D5-12107
󵏉	D5-12108
󵏊	D5-12109
󵏋	D5-12110
󵏌	D5-12111
󵏍	D5-12201
󵏎	D5-12202
󵏏	D5-12203
󵏐	D5-12204
󵏑	D5-12205
󵏒	D5-12206
󵏓	D5-12207
󵏔	D5-12208
󵏕	D5-12209
󵏖	D5-12210
󵏗	D5-12301
󵏘	D5-12302
󵏙	D5-12303
󵏚	D5-12304
󵏛	D5-12305
󵏜	D5-12306
󵏝	D5-12307
󵏞	D5-12308
󵏟	D5-12309
󵏠	D5-12310
󵏡	D5-12311
󵏢	D5-12401
󵏣	D5-12402
󵏤	D5-12403
󵏥	D5-12404
󵏦	D5-12405
󵏧	D5-12406
󵏨	D5-12407
󵏩	D5-12408
󵏪	D5-12409
󵏫	D5-12410
󵏬	D5-12501
󵏭	D5-12502
󵏮	D5-12503
󵏯	D5-12504
󵏰	D5-12505
󵏱	D5-12506
󵏲	D5-12507
󵏳	D5-12508
󵏴	D5-12509
󵏵	D5-12510
󵏶	D5-12601
󵏷	D5-12602
󵏸	D5-12603
󵏹	D5-12604
󵏺	D5-12605
󵏻	D5-12606
󵏼	D5-12607
󵏽	D5-12608
󵏾	D5-12609
󵏿	D5-12610
󵐀	D5-12611
󵐁	D5-12612
󵐂	D5-12701
󵐃	D5-12702
󵐄	D5-12703
󵐅	D5-12704
󵐆	D5-12705
󵐇	D5-12706
󵐈	D5-12707
󵐉	D5-12708
󵐊	D5-12709
󵐋	D5-12710
󵐌	D5-12801
󵐍	D5-12802
󵐎	D5-12803
󵐏	D5-12804
󵐐	D5-12805
󵐑	D5-12806
󵐒	D5-12807
󵐓	D5-12808
󵐔	D5-12809
󵐕	D5-12810
󵐖	D5-12811
󵐗	D5-12901
󵐘	D5-12902
󵐙	D5-12903
󵐚	D5-12904
󵐛	D5-12905
󵐜	D5-12906
󵐝	D5-12907
󵐞	D5-12908
󵐟	D5-12909
󵐠	D5-13001
󵐡	D5-13002
󵐢	D5-13003
󵐣	D5-13004
󵐤	D5-13005
󵐥	D5-13006
󵐦	D5-13007
󵐧	D5-13008
󵐨	D5-13009
󵐩	D5-13010
󵐪	D5-13011
󵐫	D5-13012
󵐬	D5-13101
󵐭	D5-13102
󵐮	D5-13103
󵐯	D5-13104
󵐰	D5-13105
󵐱	D5-13106
󵐲	D5-13107
󵐳	D5-13108
󵐴	D5-13109
󵐵	D5-13201
󵐶	D5-13202
󵐷	D5-13203
󵐸	D5-13204
󵐹	D5-13205
󵐺	D5-13206
󵐻	D5-13207
󵐼	D5-13208
󵐽	D5-13209
󵐾	D5-13210
󵐿	D5-13211
󵑀	D5-13212
󵑁	D5-13213
󵑂	D5-13301
󵑃	D5-13302
󵑄	D5-13303
󵑅	D5-13304
󵑆	D5-13305
󵑇	D5-13306
󵑈	D5-13307
󵑉	D5-13308
󵑊	D5-13309
󵑋	D5-13310
󵑌	D5-13311
󵑍	D5-13312
󵑎	D5-13401
󵑏	D5-13402
󵑐	D5-13403
󵑑	D5-13404
󵑒	D5-13405
󵑓	D5-13406
󵑔	D5-13407
󵑕	D5-13408
󵑖	D5-13409
󵑗	D5-13410
󵑘	D5-13501
󵑙	D5-13502
󵑚	D5-13503
󵑛	D5-13504
󵑜	D5-13505
󵑝	D5-13506
󵑞	D5-13507
󵑟	D5-13508
󵑠	D5-13509
󵑡	D5-13601
󵑢	D5-13602
󵑣	D5-13603
󵑤	D5-13604
󵑥	D5-13605
󵑦	D5-13606
󵑧	D5-13607
󵑨	D5-13608
󵑩	D5-13609
󵑪	D5-13610
󵑫	D5-13611
󵑬	D5-13701
󵑭	D5-13702
󵑮	D5-13703
󵑯	D5-13704
󵑰	D5-13705
󵑱	D5-13706
󵑲	D5-13707
󵑳	D5-13708
󵑴	D5-13709
󵑵	D5-13710
󵑶	D5-13801
󵑷	D5-13802
󵑸	D5-13803
󵑹	D5-13804
󵑺	D5-13805
󵑻	D5-13806
󵑼	D5-13807
󵑽	D5-13808
󵑾	D5-13809
󵑿	D5-13810
󵒀	D5-13901
󵒁	D5-13902
󵒂	D5-13903
󵒃	D5-13904
󵒄	D5-13905
󵒅	D5-13906
󵒆	D5-13907
󵒇	D5-13908
󵒈	D5-13909
󵒉	D5-13910
󵒊	D5-14001
󵒋	D5-14002
󵒌	D5-14003
󵒍	D5-14004
󵒎	D5-14005
󵒏	D5-14006
󵒐	D5-14007
󵒑	D5-14008
󵒒	D5-14009
󵒓	D5-14101
󵒔	D5-14102
󵒕	D5-14103
󵒖	D5-14104
󵒗	D5-14105
󵒘	D5-14106
󵒙	D5-14107
󵒚	D5-14108
󵒛	D5-14109
󵒜	D5-14110
󵒝	D5-14201
󵒞	D5-14202
󵒟	D5-14203
󵒠	D5-14204
󵒡	D5-14205
󵒢	D5-14206
󵒣	D5-14207
󵒤	D5-14208
󵒥	D5-14209
󵒦	D5-14210
󵒧	D5-14211
󵒨	D5-14212
󵒩	D5-14301
󵒪	D5-14302
󵒫	D5-14303
󵒬	D5-14304
󵒭	D5-14305
󵒮	D5-14306
󵒯	D5-14307
󵒰	D5-14308
󵒱	D5-14309
󵒲	D5-14401
󵒳	D5-14402
󵒴	D5-14403
󵒵	D5-14404
󵒶	D5-14405
󵒷	D5-14406
󵒸	D5-14407
󵒹	D5-14408
󵒺	D5-14409
󵒻	D5-14410
󵒼	D5-14411
󵒽	D5-14501
󵒾	D5-14502
󵒿	D5-14503
󵓀	D5-14504
󵓁	D5-14505
󵓂	D5-14506
󵓃	D5-14507
󵓄	D5-14508
󵓅	D5-14509
󵓆	D5-14510
󵓇	D5-14511
󵓈	D5-14601
󵓉	D5-14602
󵓊	D5-14603
󵓋	D5-14604
󵓌	D5-14605
󵓍	D5-14606
󵓎	D5-14607
󵓏	D5-14608
󵓐	D5-14609
󵓑	D5-14610
󵓒	D5-14701
󵓓	D5-14702
󵓔	D5-14703
󵓕	D5-14704
󵓖	D5-14705
󵓗	D5-14706
󵓘	D5-14707
󵓙	D5-14708
󵓚	D5-14709
󵓛	D5-14710
󵓜	D5-14801
󵓝	D5-14802
󵓞	D5-14803
󵓟	D5-14804
󵓠	D5-14805
󵓡	D5-14806
󵓢	D5-14807
󵓣	D5-14808
󵓤	D5-14809
󵓥	D5-14810
󵓦	D5-14901
󵓧	D5-14902
󵓨	D5-14903
󵓩	D5-14904
󵓪	D5-14905
󵓫	D5-14906
󵓬	D5-14907
󵓭	D5-14908
󵓮	D5-14909
󵓯	D5-15001
󵓰	D5-15002
󵓱	D5-15003
󵓲	D5-15004
󵓳	D5-15005
󵓴	D5-15006
󵓵	D5-15007
󵓶	D5-15008
󵓷	D5-15009
󵓸	D5-15010
󵓹	D5-15011
󵓺	D5-15101
󵓻	D5-15102
󵓼	D5-15103
󵓽	D5-15104
󵓾	D5-15105
󵓿	D5-15106
󵔀	D5-15107
󵔁	D5-15108
󵔂	D5-15109
󵔃	D5-15110
󵔄	D5-15201
󵔅	D5-15202
󵔆	D5-15203
󵔇	D5-15204
󵔈	D5-15205
󵔉	D5-15206
󵔊	D5-15207
󵔋	D5-15208
󵔌	D5-15301
󵔍	D5-15302
󵔎	D5-15303
󵔏	D5-15304
󵔐	D5-15305
󵔑	D5-15306
󵔒	D5-15307
󵔓	D5-15308
󵔔	D5-15309
󵔕	D5-15310
󵔖	D5-15311
󵔗	D5-15312
󵔘	D5-15313
󵔙	D5-15314
󵔚	D5-15401
󵔛	D5-15402
󵔜	D5-15403
󵔝	D5-15404
󵔞	D5-15405
󵔟	D5-15406
󵔠	D5-15407
󵔡	D5-15408
󵔢	D5-15409
󵔣	D5-15410
󵔤	D5-15411
󵔥	D5-15412
󵔦	D5-15501
󵔧	D5-15502
󵔨	D5-15503
󵔩	D5-15504
󵔪	D5-15505
󵔫	D5-15506
󵔬	D5-15507
󵔭	D5-15508
󵔮	D5-15509
󵔯	D5-15510
󵔰	D5-15601
󵔱	D5-15602
󵔲	D5-15603
󵔳	D5-15604
󵔴	D5-15605
󵔵	D5-15606
󵔶	D5-15607
󵔷	D5-15608
󵔸	D5-15609
󵔹	D5-15610
󵔺	D5-15611
󵔻	D5-15612
󵔼	D5-15701
󵔽	D5-15702
󵔾	D5-15703
󵔿	D5-15704
󵕀	D5-15705
󵕁	D5-15706
󵕂	D5-15707
󵕃	D5-15708
󵕄	D5-15709
󵕅	D5-15801
󵕆	D5-15802
󵕇	D5-15803
󵕈	D5-15804
󵕉	D5-15805
󵕊	D5-15806
󵕋	D5-15807
󵕌	D5-15808
󵕍	D5-15809
󵕎	D5-15901
󵕏	D5-15902
󵕐	D5-15903
󵕑	D5-15904
󵕒	D5-15905
󵕓	D5-15906
󵕔	D5-15907
󵕕	D5-15908
󵕖	D5-16001
󵕗	D5-16002
󵕘	D5-16003
󵕙	D5-16004
󵕚	D5-16005
󵕛	D5-16006
󵕜	D5-16007
󵕝	D5-16008
󵕞	D5-16009
󵕟	D5-16010
󵕠	D5-16011
󵕡	D5-16101
󵕢	D5-16102
󵕣	D5-16103
󵕤	D5-16104
󵕥	D5-16105
󵕦	D5-16106
󵕧	D5-16107
󵕨	D5-16108
󵕩	D5-16109
󵕪	D5-16110
󵕫	D5-16201
󵕬	D5-16202
󵕭	D5-16203
󵕮	D5-16204
󵕯	D5-16205
󵕰	D5-16206
󵕱	D5-16207
󵕲	D5-16208
󵕳	D5-16209
󵕴	D5-16301
󵕵	D5-16302
󵕶	D5-16303
󵕷	D5-16304
󵕸	D5-16305
󵕹	D5-16306
󵕺	D5-16307
󵕻	D5-16308
󵕼	D5-16309
󵕽	D5-16310
󵕾	D5-16311
󵕿	D5-16401
󵖀	D5-16402
󵖁	D5-16403
󵖂	D5-16404
󵖃	D5-16405
󵖄	D5-16406
󵖅	D5-16407
󵖆	D5-16501
󵖇	D5-16502
󵖈	D5-16503
󵖉	D5-16504
󵖊	D5-16505
󵖋	D5-16506
󵖌	D5-16507
󵖍	D5-16508
󵖎	D5-16509
󵖏	D5-16601
󵖐	D5-16602
󵖑	D5-16603
󵖒	D5-16604
󵖓	D5-16605
󵖔	D5-16606
󵖕	D5-16607
󵖖	D5-16608
󵖗	D5-16609
󵖘	D5-16701
󵖙	D5-16702
󵖚	D5-16703
󵖛	D5-16704
󵖜	D5-16705
󵖝	D5-16706
󵖞	D5-16707
󵖟	D5-16708
󵖠	D5-16801
󵖡	D5-16802
󵖢	D5-16803
󵖣	D5-16804
󵖤	D5-16805
󵖥	D5-16806
󵖦	D5-16807
󵖧	D5-16808
󵖨	D5-16809
󵖩	D5-16810
󵖪	D5-16811
󵖫	D5-16812
󵖬	D5-16901
󵖭	D5-16902
󵖮	D5-16903
󵖯	D5-16904
󵖰	D5-16905
󵖱	D5-16906
󵖲	D5-16907
󵖳	D5-16908
󵖴	D5-17001
󵖵	D5-17002
󵖶	D5-17003
󵖷	D5-17004
󵖸	D5-17005
󵖹	D5-17006
󵖺	D5-17007
󵖻	D5-17008
󵖼	D5-17009
󵖽	D5-17010
󵖾	D5-17011
󵖿	D5-17101
󵗀	D5-17102
󵗁	D5-17103
󵗂	D5-17104
󵗃	D5-17105
󵗄	D5-17106
󵗅	D5-17107
󵗆	D5-17108
󵗇	D5-17109
󵗈	D5-17110
󵗉	D5-17111
󵗊	D5-17201
󵗋	D5-17202
󵗌	D5-17203
󵗍	D5-17204
󵗎	D5-17205
󵗏	D5-17206
󵗐	D5-17207
󵗑	D5-17208
󵗒	D5-17209
󵗓	D5-17301
󵗔	D5-17302
󵗕	D5-17303
󵗖	D5-17304
󵗗	D5-17305
󵗘	D5-17306
󵗙	D5-17307
󵗚	D5-17308
󵗛	D5-17309
󵗜	D5-17310
󵗝	D5-17311
󵗞	D5-17312
󵗟	D5-17313
󵗠	D5-17314
󵗡	D5-17401
󵗢	D5-17402
󵗣	D5-17403
󵗤	D5-17404
󵗥	D5-17405
󵗦	D5-17406
󵗧	D5-17407
󵗨	D5-17408
󵗩	D5-17409
󵗪	D5-17501
󵗫	D5-17502
󵗬	D5-17503
󵗭	D5-17504
󵗮	D5-17505
󵗯	D5-17506
󵗰	D5-17507
󵗱	D5-17508
󵗲	D5-17509
󵗳	D5-17510
󵗴	D5-17511
󵗵	D5-17601
󵗶	D5-17602
󵗷	D5-17603
󵗸	D5-17604
󵗹	D5-17605
󵗺	D5-17606
󵗻	D5-17607
󵗼	D5-17608
󵗽	D5-17609
󵗾	D5-17610
󵗿	D5-17611
󵘀	D5-17612
󵘁	D5-17701
󵘂	D5-17702
󵘃	D5-17703
󵘄	D5-17704
󵘅	D5-17705
󵘆	D5-17706
󵘇	D5-17707
󵘈	D5-17708
󵘉	D5-17709
󵘊	D5-17710
󵘋	D5-17801
󵘌	D5-17802
󵘍	D5-17803
󵘎	D5-17804
󵘏	D5-17805
󵘐	D5-17806
󵘑	D5-17807
󵘒	D5-17808
󵘓	D5-17809
󵘔	D5-17810
󵘕	D5-17901
󵘖	D5-17902
󵘗	D5-17903
󵘘	D5-17904
󵘙	D5-17905
󵘚	D5-17906
󵘛	D5-17907
󵘜	D5-17908
󵘝	D5-17909
󵘞	D5-17910
󵘟	D5-18001
󵘠	D5-18002
󵘡	D5-18003
󵘢	D5-18004
󵘣	D5-18005
󵘤	D5-18006
󵘥	D5-18007
󵘦	D5-18008
󵘧	D5-18009
󵘨	D5-18010
󵘩	D5-18011
󵘪	D5-18101
󵘫	D5-18102
󵘬	D5-18103
󵘭	D5-18104
󵘮	D5-18105
󵘯	D5-18106
󵘰	D5-18107
󵘱	D5-18108
󵘲	D5-18109
󵘳	D5-18110
󵘴	D5-18111
󵘵	D5-18201
󵘶	D5-18202
󵘷	D5-18203
󵘸	D5-18204
󵘹	D5-18205
󵘺	D5-18206
󵘻	D5-18207
󵘼	D5-18208
󵘽	D5-18209
󵘾	D5-18301
󵘿	D5-18302
󵙀	D5-18303
󵙁	D5-18304
󵙂	D5-18305
󵙃	D5-18306
󵙄	D5-18307
󵙅	D5-18401
󵙆	D5-18402
󵙇	D5-18403
󵙈	D5-18404
󵙉	D5-18405
󵙊	D5-18406
󵙋	D5-18407
󵙌	D5-18408
󵙍	D5-18409
󵙎	D5-18410
󵙏	D5-18501
󵙐	D5-18502
󵙑	D5-18503
󵙒	D5-18504
󵙓	D5-18505
󵙔	D5-18506
󵙕	D5-18507
󵙖	D5-18508
󵙗	D5-18509
󵙘	D5-18510
󵙙	D5-18511
󵙚	D5-18601
󵙛	D5-18602
󵙜	D5-18603
󵙝	D5-18604
󵙞	D5-18605
󵙟	D5-18606
󵙠	D5-18607
󵙡	D5-18608
󵙢	D5-18609
󵙣	D5-18610
󵙤	D5-18611
󵙥	D5-18701
󵙦	D5-18702
󵙧	D5-18703
󵙨	D5-18704
󵙩	D5-18705
󵙪	D5-18706
󵙫	D5-18707
󵙬	D5-18708
󵙭	D5-18709
󵙮	D5-18710
󵙯	D5-18711
󵙰	D5-18801
󵙱	D5-18802
󵙲	D5-18803
󵙳	D5-18804
󵙴	D5-18805
󵙵	D5-18806
󵙶	D5-18807
󵙷	D5-18808
󵙸	D5-18809
󵙹	D5-18901
󵙺	D5-18902
󵙻	D5-18903
󵙼	D5-18904
󵙽	D5-18905
󵙾	D5-18906
󵙿	D5-18907
󵚀	D5-18908
󵚁	D5-18909
󵚂	D5-18910
󵚃	D5-18911
󵚄	D5-19001
󵚅	D5-19002
󵚆	D5-19003
󵚇	D5-19004
󵚈	D5-19005
󵚉	D5-19006
󵚊	D5-19007
󵚋	D5-19008
󵚌	D5-19009
󵚍	D5-19101
󵚎	D5-19102
󵚏	D5-19103
󵚐	D5-19104
󵚑	D5-19105
󵚒	D5-19106
󵚓	D5-19107
󵚔	D5-19108
󵚕	D5-19109
󵚖	D5-19110
󵚗	D5-19201
󵚘	D5-19202
󵚙	D5-19203
󵚚	D5-19204
󵚛	D5-19205
󵚜	D5-19206
󵚝	D5-19207
󵚞	D5-19208
󵚟	D5-19209
󵚠	D5-19210
󵚡	D5-19301
󵚢	D5-19302
󵚣	D5-19303
󵚤	D5-19304
󵚥	D5-19305
󵚦	D5-19306
󵚧	D5-19307
󵚨	D5-19308
󵚩	D5-19309
󵚪	D5-19310
󵚫	D5-19311
󵚬	D5-19312
󵚭	D5-19401
󵚮	D5-19402
󵚯	D5-19403
󵚰	D5-19404
󵚱	D5-19405
󵚲	D5-19406
󵚳	D5-19407
