glyph_unified	src_ref	pronunciation	meaning
뚌	U0-33603	kʰo²¹	所（有）。（都）是。〖多少〗，〖有多少〗。（重叠词缀）〖浊气沉沉〗。
닽	U0-33604	kʰo²¹	〖小时〗，〖一小时〗。
넼	U0-33605	kʰo³³	生（荒地）。
빌	U0-33606	kʰu⁵⁵	灰，〖柴灰〗，〖石灰〗。碱。凹。
븡	U0-33607	kʰu⁵⁵	孵出。
븻	U0-33608	kʰu⁵⁵	（牲畜）产崽。生（虫），〖肉烂生蛆〗。
붷	U0-33701	kʰu⁵⁵	服。
뇸	U0-33702	kʰu³³	铺垫。〖凳子〗。
떺	U0-33703	kʰu³³	苦（味）。（盐）咸。〖龙胆草〗。
뺚	U0-33704	kʰu³³	穷困。
뛾	U0-33705	kʰu³³	〖刺竹〗。
멘	U0-33706	kʰu³³	环。
붻	U0-33707	kʰu³³	（连）枷，〖连枷（一种脱粒工具）〗。
븮	U0-33708	kʰu³³	骂。
냐	U0-33709	kʰu³³	威，〖威荣〗，〖威望高，尊贵〗，〖丢人，扫面子〗。
븯	U0-33801	kʰu³³	境，界。
놨	U0-33802	kʰu³³	〖政令，政策〗。〖尼可慕〗。
떻	U0-33803	kʰu³³	技术，技艺。
뚫	U0-33804	kʰu³³	计谋。
넽	U0-33805	kʰu³³	〖锄头〗。
돞	U0-33806	kʰu³³	〖木盔（餐具）〗。
땧	U0-33807	kʰu³³	〖城市〗，〖俄卓鲁库，西昌〗。
붙	U0-33808	kʰu³³	染料。蓝靛。
넾	U0-33809	kʰu¹³	喊。
뇹	U0-33810	kʰu¹³	痣。
듒	U0-33811	kʰu²¹	盘，绾，〖盘着，绾着〗。盘（量词），〖一盘铁丝〗。〖阔液，盘江〗。
뚍	U0-33901	kʰʊ²¹	（马）蹄。
멙	U0-33902	kʰɯ⁵⁵	吉祥。〖宗祠〗。
럿	U0-33903	kʰɯ⁵⁵	神气。（重叠词缀）〖雾沉沉〗。
뻑	U0-33904	kʰɯ⁵⁵	舀，〖舀水〗。
닾	U0-33905	kʰɯ⁵⁵	糊（焦）。
뜖	U0-33906	kʰɯ³³	〖宫殿（古语）〗。
븰	U0-33907	kʰɯ³³	劝（说）。挽，留。〖昂哈博〗。
뾍	U0-33908	kʰɯ³³	口。〖祷告〗。〖案件〗，〖问题〗。
릝	U0-33909	kʰɯ³³	分养（母畜）。
매	U0-34001	kʰɯ³³	租。
뫵	U0-34002	kʰɯ³³	〖姊妹〗，〖妹妹〗，〖姐妹〗。
뒇	U0-34003	kʰɯ²¹	到。戊（天干第五位）。
뵟	U0-34004	kʰɯ²¹	娶（妻）。〖慕克克〗。
떼	U0-34005	kʰɯ²¹	何（什么）。如何，怎样，怎么。
눶	U0-34006	kʰɯ²¹	牢固。
뎞	U0-34007	kʰɯ²¹	绺（量词），〖一绺线〗。
딓	U0-34008	kʰɤ³³	连累，牵连。
뇺	U0-34009	kʰɤ³³	〖城墙〗。
뽶	U0-34010	kʰɤ²¹	他（的）。
룍	U0-34101	ɡɪ³³	断。破。伤（心）。
냑	U0-34102	ɡɪ³³	绝，〖绝种〗，〖消灭〗。
몖	U0-34103	ɡɪ¹³	倒霉，糟，〖糟了，倒霉了〗。
뒸	U0-34104	ɡe³³	羡慕。
뷷	U0-34105	ɡe³³	裂（开）。
둌	U0-34106	ɡe²¹	明，〖天明，天亮〗。
뭚	U0-34107	ɡe²¹	清澈，清晰。
떽	U0-34108	ɡe²¹	（酒）醒。
끺	U0-34201	ɡɛ³³	稳，〖不稳〗。〖正经〗。
됔	U0-34202	ɡɛ³³	通达，知晓，〖通晓彝文〗。
돟	U0-34203	ɡɛ³³	〖断定〗，〖这样决定〗。
돠	U0-34204	ɡɛ²¹	零碎。
뚊	U0-34205	ɡɑ⁵⁵	叫（使、令）。
