glyph_unified	src_ref	pronunciation	meaning
󵠗	D2-0344	t͡ɕo³³	（ho³³～）（准）备，准备。
󵠘	D2-0345	ɣu⁵⁵	（～də²¹）狐（狸），狐狸。
󵠙	D2-0346	do³³	英雄，能人。
󵠚	D2-0347	pɛ⁵⁵	（～ti⁵⁵）火草。
󵠛	D2-0348	bɯ²¹	（～lɯ²¹）蠕（动），蠕动。
󵠜	D2-0349	kʰa²¹	（～po⁵⁵）另（外），另外，其它。
󵠝	D2-0350	tʰu²¹	又辣又痒。
󵠞	D2-0351	he²¹	热带，瘴气，江边。
󵠟	D2-0352	lo⁵⁵	纳鞋底。
󵠠	D2-0353	be³³	（煮）透。
󵠡	D2-0354	d͡ʐɯ³³	不怕，没关系，不要紧。
󵠢	D2-0355	la³³	跨过（沟和山岗）。
󵠣	D2-0356	no²¹	（te⁵⁵～）（佃）农，佃农。
󵠤	D2-0357	lɯ²¹	（bɯ²¹～）（蠕）动，蠕动。
󵠥	D2-0358	pʰio²¹	放（给），放（盐）。
󵠦	D2-0359	tʰe³³	尖，削尖。
󵠧	D2-0360	ʂo³³	小麦。
󵠨	D2-0361	ʂo⁵⁵	穷困，困难。
󵠩	D2-0362	d͡ziu²¹	凿（子）（名词）。
󵠪	D2-0363	nə²¹	（树）长（着），生长，长大。
󵠫	D2-0364	tʰa²¹	（～lo³³）兔子，卯（年）。
󵠬	D2-0365	ʂi³³	前（天），前（年）。
󵠭	D2-0366	t͡ʂʰo²¹	逗玩，闹玩。
󵠮	D2-0367	d͡ʐa³³	在（家），有（无）。
󵠯	D2-0368	sa³³	桑（树）。
󵠰	D2-0369	nə⁵⁵	（～ɡə²¹）肋骨。
󵠱	D2-0370	t͡ɕe²¹	（勒）紧，（松）紧。
󵠲	D2-0371	ne³³	（mo³³～）（妇）女。
󵠳	D2-0372	mo³³	（ne³³～）妇（女）。
󵠴	D2-0373	t͡se³³	（二）十，（七）十。
󵠵	D2-0374	ɕe⁵⁵	（互相）交叉。
󵠶	D2-0375	ɣɯ³³	盖（瓦），撒（瓦）。
󵠷	D2-0376	bɯ²¹	背（柴）（自动）。
󵠸	D2-0377	du²¹	（ɑ⁵⁵～）门。
󵠹	D2-0378	də²¹	（ɡə³³～）体，身体。
󵠺	D2-0379	so³³	梭（坡）。
󵠻	D2-0380	ɣɯ⁵⁵	坐。
󵠼	D2-0381	ɡu³³	修理，医（病）。
󵠽	D2-0382	bu³³	（bɛ³³～）棍子。
󵠾	D2-0383	ŋa⁵⁵	（～du²¹）（树）桩。
󵠿	D2-0384	t͡ɕu⁵⁵	六。
󵡀	D2-0385	lie²¹	割（肉），裁（衣）。
󵡁	D2-0386	nə³³	女（儿）。
󵡂	D2-0387	biu³³	飞。
󵡃	D2-0388	lə³³	动摇，（锄头）脱，脱掉。
󵡄	D2-0389	ɡa²¹	（街子）散。
󵡅	D2-0390	lə³³	（bə³³～）干净，清净。
󵡆	D2-0391	kɯ³³	（～t͡sʰi³³）拳头。
