glyph_unified	src_ref	pronunciation	meaning
씳	D0-06102	bɤ²¹	墓。
쑡	D0-06103	bɤ²¹	（铜）锅。
씵	D0-06104	bɤ²¹	蕉（芭蕉后缀）。
씶	D0-06105	bɤ²¹	暗。
씷	D0-06106	bɤ̰²¹	蹄；脚。
씸	D0-06107	bɤ̰²¹	子；梁（鼻子后缀）。
씹	D0-06201	mi⁵⁵	地。
씺	D0-06401	mi⁵⁵/mi²¹	mi。【汨罗江】，【秘方】…
씻	D0-06501	mi³³	闭；眨。
씼	D0-06502	miæn⁵⁵/miæn²¹	mian。【面包】，【面点】…
씽	D0-06601	miɑu⁵⁵/miɑu²¹	miao。【妙笔】，【妙计】…
씾	D0-06602	miɛ⁵⁵/miɛ³³	mie。【蔑视】，【篾匠】…
씿	D0-06701	min²¹	min。【民办】，【民愤】…
씿	D0-06702	miŋ⁵⁵/miŋ²¹	ming。【命案】，【命笔】…
앁	D0-06801	miou⁵⁵	miu。【谬论】，【谬说】…
앂	D0-06802	me⁵⁵	油；脂；蜡。
앃	D0-06901	me⁵⁵	聒。
아	D0-06902	me³³	温；暖热。
악	D0-06903	me³³	面（颜面）。
앆	D0-06904	mḛ³³	马缨；杜鹃。
앇	D0-06905	me²¹	忘。
쓛	D0-06906	me²¹	核（桃）。
앉	D0-06907	me²¹	嫂。
않	D0-06908	me²¹	语言；话。
앋	D0-06909	me²¹	贫；失。
알	D0-07001	mḛ²¹	熟（植物、果类成熟）。
앍	D0-07002	mḛ²¹	兵；卒；军。
앎	D0-07003	mḛ²¹	灰包。
앏	D0-07004	mḛ²¹	痣。
앐	D0-07005	mḛ²¹	梦。
앑	D0-07006	mɛ⁵⁵	名；名声（姓名）。
앒	D0-07007	mɛ⁵⁵	跟；及；够。
앓	D0-07008	mɛ⁵⁵	猫。
암	D0-07101	mɛ⁵⁵	阴。
압	D0-07102	mɛ³³	火。
앖	D0-07103	mɛ³³	女儿。
앗	D0-07104	mɛ³³	尾；末。
았	D0-07201	mɛ³³	木（炭）。
앙	D0-07202	mɛ³³	各自。
앚	D0-07203	mɛ²¹	妻；妾。
앛	D0-07204	mɛ²¹	近；挨。
앜	D0-07205	mɛ²¹	妇。
앝	D0-07206	mei⁵⁵/mei²¹	mei。【昧心】，【魅惑】…
앞	D0-07301	mən⁵⁵/mən²¹	men。【闷酒】，【闷雷】…
앞	D0-07401	məŋ⁵⁵/məŋ³³/məŋ²¹	meng。【孟子】，【梦幻】…
애	D0-07501	mæ³³	划；劈（动词）；块（量词）。
액	D0-07502	mᴀ⁵⁵	尸。
앢	D0-07503	mᴀ⁵⁵/mᴀ³³/mᴀ²¹	ma。【骂名】，【抹布】…
앣	D0-07504	mᴀ²¹	不；无；没；未。
앤	D0-08101	mᴀ²¹	老；摩。
앥	D0-08102	mɑi⁵⁵/mɑi²¹	mai。【迈进】，【麦浪】…
앦	D0-08201	man⁵⁵/man³³/man²¹	man。【曼妙】，【蔓延】…
앦	D0-08301	mɑŋ²¹	mang。【芒果】，【忙叨】…
